ENVIRONMENT,TENANT,ZONE,DIRECTION,ETHER_TYPE,PROTOCOL,PORT,APPLICATION
sbox,infra,aci-mgmt,inbound,arp,unspecified,reply,arp
sbox,infra,aci-mgmt,inbound,arp,unspecified,req,arp
sbox,infra,aci-mgmt,inbound,ipv4,icmp,unspecified,icmp
sbox,infra,aci-mgmt,inbound,ipv4,tcp,22,ssh
sbox,infra,aci-mgmt,inbound,ipv4,tcp,49,tacacs+
sbox,infra,aci-mgmt,inbound,ipv4,tcp,53,sec-dns
sbox,infra,aci-mgmt,inbound,ipv4,udp,53,dns
sbox,infra,aci-mgmt,inbound,ipv4,udp,123,ntp
sbox,infra,aci-mgmt,inbound,ipv4,udp,161,snmp
sbox,infra,aci-mgmt,inbound,ipv4,udp,514,syslog