TENANT_NAME,ZONE_NAME,VRF_NAME,NEXT_HOP_TYPE,ENF_RT_CTRL,TARGET_DSCP,MPLS_ENABLED,PIM,BGP_ENABLE
SS,OUT,DEFAULT_VRF,CORE,export,unspecified,no,ipv4,TRUE
SS,SS,DEFAULT_VRF,PAN,export,unspecified,no,ipv4,FALSE
SS,BU1,DEFAULT_VRF,PAN,export,unspecified,no,ipv4,FALSE
SS,BU2,DEFAULT_VRF,PAN,export,unspecified,no,ipv4,FALSE
SS,ADC,ADC_VRF,F5,export,unspecified,no,ipv4,FALSE
SS,MGMT,MGMT_VRF,PAN,export,unspecified,no,ipv4,FALSE
SS,STORAGE,STORAGE_VRF,PAN,export,unspecified,no,ipv4,FALSE
BU1,ADC,ADC_VRF,F5,export,unspecified,no,ipv4,FALSE
BU1,FRONTEND,FRONTEND_VRF,PAN,export,unspecified,no,ipv4,FALSE
BU1,MIDTIER,MIDTIER_VRF,PAN,export,unspecified,no,ipv4,FALSE
BU1,BACKEND,BACKEND_VRF,PAN,export,unspecified,no,ipv4,FALSE
BU1,MISC,MISC_VRF,PAN,export,unspecified,no,ipv4,FALSE
BU2,ADC,ADC_VRF,F5,export,unspecified,no,ipv4,FALSE
BU2,FRONTEND,FRONTEND_VRF,PAN,export,unspecified,no,ipv4,FALSE
BU2,MIDTIER,MIDTIER_VRF,PAN,export,unspecified,no,ipv4,FALSE
BU2,BACKEND,BACKEND_VRF,PAN,export,unspecified,no,ipv4,FALSE
BU2,MISC,MISC_VRF,PAN,export,unspecified,no,ipv4,FALSE