TENANT_NAME,ZONE_NAME,VRF_NAME,NEXT_HOP_TYPE,POD_ID,ODD_NODE_ID,ODD_NODE_IP,EVEN_NODE_ID,EVEN_NODE_IP,SHARED_IP,NETWORK_CIDR,ENDPOINT_NAME,ENDPOINT_INTERFACE_TYPE,MULTI_TENANT,DOT1Q_ENABLED,VLAN_ID,AUTO_STATE,MAC_ADDR,MTU,TARGET_DCSP,ENCAP_SCOPE,LL_ADDR,IPV6_DAD,DHCP_RELAY
SS,SS,DEFAULT_VRF,PAN,1,1101,30.0.4.1,1102,30.0.4.2,30.0.4.3,28,DC1NTNXAHV01,NTWK-SVCS,TRUE,TRUE,11,disabled,0F:0F:0F:0F:FF:FF,inherit,unspecified,local,::,disabled,disabled
SS,BU1,DEFAULT_VRF,PAN,1,1101,30.1.0.1,1102,30.1.0.2,30.1.0.3,28,DC1NTNXAHV01,NTWK-SVCS,TRUE,TRUE,100,disabled,0F:0F:0F:0F:FF:FF,inherit,unspecified,local,::,disabled,disabled
SS,BU2,DEFAULT_VRF,PAN,1,1101,30.2.0.1,1102,30.2.0.2,30.2.0.3,28,DC1NTNXAHV01,NTWK-SVCS,TRUE,TRUE,120,disabled,0F:0F:0F:0F:FF:FF,inherit,unspecified,local,::,disabled,disabled
SS,ADC,ADC_VRF,F5,1,1101,30.0.4.33,1102,30.0.4.34,30.0.4.35,28,DC1NTNXAHV01,NTWK-SVCS,TRUE,TRUE,13,disabled,0F:0F:0F:0F:FF:FF,inherit,unspecified,local,::,disabled,disabled
SS,MGMT,MGMT_VRF,PAN,1,1101,30.0.4.49,1102,30.0.4.50,30.0.4.51,28,DC1NTNXAHV01,NTWK-SVCS,TRUE,TRUE,14,disabled,0F:0F:0F:0F:FF:FF,inherit,unspecified,local,::,disabled,disabled
SS,STORAGE,STORAGE_VRF,PAN,1,1101,30.0.4.97,1102,30.0.4.98,30.0.4.99,28,DC1NTNXAHV01,NTWK-SVCS,TRUE,TRUE,17,disabled,0F:0F:0F:0F:FF:FF,inherit,unspecified,local,::,disabled,disabled
BU1,ADC,ADC_VRF,F5,1,1101,30.1.0.33,1102,30.1.0.34,30.1.0.35,28,DC1NTNXAHV01,NTWK-SVCS,TRUE,TRUE,102,disabled,0F:0F:0F:0F:FF:FF,inherit,unspecified,local,::,disabled,disabled
BU1,FRONTEND,FRONTEND_VRF,PAN,1,1101,30.1.0.49,1102,30.1.0.50,30.1.0.51,28,DC1NTNXAHV01,NTWK-SVCS,TRUE,TRUE,103,disabled,0F:0F:0F:0F:FF:FF,inherit,unspecified,local,::,disabled,disabled
BU1,MIDTIER,MIDTIER_VRF,PAN,1,1101,30.1.0.65,1102,30.1.0.66,30.1.0.67,28,DC1NTNXAHV01,NTWK-SVCS,TRUE,TRUE,104,disabled,0F:0F:0F:0F:FF:FF,inherit,unspecified,local,::,disabled,disabled
BU1,BACKEND,BACKEND_VRF,PAN,1,1101,30.1.0.81,1102,30.1.0.82,30.1.0.83,28,DC1NTNXAHV01,NTWK-SVCS,TRUE,TRUE,105,disabled,0F:0F:0F:0F:FF:FF,inherit,unspecified,local,::,disabled,disabled
BU1,MISC,MISC_VRF,PAN,1,1101,30.1.0.97,1102,30.1.0.98,30.1.0.99,28,DC1NTNXAHV01,NTWK-SVCS,TRUE,TRUE,106,disabled,0F:0F:0F:0F:FF:FF,inherit,unspecified,local,::,disabled,disabled
BU2,ADC,ADC_VRF,F5,1,1101,30.2.0.33,1102,30.2.0.34,30.2.0.35,28,DC1NTNXAHV01,NTWK-SVCS,TRUE,TRUE,122,disabled,0F:0F:0F:0F:FF:FF,inherit,unspecified,local,::,disabled,disabled
BU2,FRONTEND,FRONTEND_VRF,PAN,1,1101,30.2.0.49,1102,30.2.0.50,30.2.0.51,28,DC1NTNXAHV01,NTWK-SVCS,TRUE,TRUE,123,disabled,0F:0F:0F:0F:FF:FF,inherit,unspecified,local,::,disabled,disabled
BU2,MIDTIER,MIDTIER_VRF,PAN,1,1101,30.2.0.65,1102,30.2.0.66,30.2.0.67,28,DC1NTNXAHV01,NTWK-SVCS,TRUE,TRUE,124,disabled,0F:0F:0F:0F:FF:FF,inherit,unspecified,local,::,disabled,disabled
BU2,BACKEND,BACKEND_VRF,PAN,1,1101,30.2.0.81,1102,30.2.0.82,30.2.0.83,28,DC1NTNXAHV01,NTWK-SVCS,TRUE,TRUE,125,disabled,0F:0F:0F:0F:FF:FF,inherit,unspecified,local,::,disabled,disabled
BU2,MISC,MISC_VRF,PAN,1,1101,30.2.0.97,1102,30.2.0.98,30.2.0.99,28,DC1NTNXAHV01,NTWK-SVCS,TRUE,TRUE,126,disabled,0F:0F:0F:0F:FF:FF,inherit,unspecified,local,::,disabled,disabled
SS,SS,DEFAULT_VRF,PAN,1,1101,30.0.4.1,1102,30.0.4.2,30.0.4.3,28,DC1NTNXAHV02,NTWK-SVCS,TRUE,TRUE,11,disabled,0F:0F:0F:0F:FF:FF,inherit,unspecified,local,::,disabled,disabled
SS,BU1,DEFAULT_VRF,PAN,1,1101,30.1.0.1,1102,30.1.0.2,30.1.0.3,28,DC1NTNXAHV02,NTWK-SVCS,TRUE,TRUE,100,disabled,0F:0F:0F:0F:FF:FF,inherit,unspecified,local,::,disabled,disabled
SS,BU2,DEFAULT_VRF,PAN,1,1101,30.2.0.1,1102,30.2.0.2,30.2.0.3,28,DC1NTNXAHV02,NTWK-SVCS,TRUE,TRUE,120,disabled,0F:0F:0F:0F:FF:FF,inherit,unspecified,local,::,disabled,disabled
SS,ADC,ADC_VRF,F5,1,1101,30.0.4.33,1102,30.0.4.34,30.0.4.35,28,DC1NTNXAHV02,NTWK-SVCS,TRUE,TRUE,13,disabled,0F:0F:0F:0F:FF:FF,inherit,unspecified,local,::,disabled,disabled
SS,MGMT,MGMT_VRF,PAN,1,1101,30.0.4.49,1102,30.0.4.50,30.0.4.51,28,DC1NTNXAHV02,NTWK-SVCS,TRUE,TRUE,14,disabled,0F:0F:0F:0F:FF:FF,inherit,unspecified,local,::,disabled,disabled
SS,STORAGE,STORAGE_VRF,PAN,1,1101,30.0.4.97,1102,30.0.4.98,30.0.4.99,28,DC1NTNXAHV02,NTWK-SVCS,TRUE,TRUE,17,disabled,0F:0F:0F:0F:FF:FF,inherit,unspecified,local,::,disabled,disabled
BU1,ADC,ADC_VRF,F5,1,1101,30.1.0.33,1102,30.1.0.34,30.1.0.35,28,DC1NTNXAHV02,NTWK-SVCS,TRUE,TRUE,102,disabled,0F:0F:0F:0F:FF:FF,inherit,unspecified,local,::,disabled,disabled
BU1,FRONTEND,FRONTEND_VRF,PAN,1,1101,30.1.0.49,1102,30.1.0.50,30.1.0.51,28,DC1NTNXAHV02,NTWK-SVCS,TRUE,TRUE,103,disabled,0F:0F:0F:0F:FF:FF,inherit,unspecified,local,::,disabled,disabled
BU1,MIDTIER,MIDTIER_VRF,PAN,1,1101,30.1.0.65,1102,30.1.0.66,30.1.0.67,28,DC1NTNXAHV02,NTWK-SVCS,TRUE,TRUE,104,disabled,0F:0F:0F:0F:FF:FF,inherit,unspecified,local,::,disabled,disabled
BU1,BACKEND,BACKEND_VRF,PAN,1,1101,30.1.0.81,1102,30.1.0.82,30.1.0.83,28,DC1NTNXAHV02,NTWK-SVCS,TRUE,TRUE,105,disabled,0F:0F:0F:0F:FF:FF,inherit,unspecified,local,::,disabled,disabled
BU1,MISC,MISC_VRF,PAN,1,1101,30.1.0.97,1102,30.1.0.98,30.1.0.99,28,DC1NTNXAHV02,NTWK-SVCS,TRUE,TRUE,106,disabled,0F:0F:0F:0F:FF:FF,inherit,unspecified,local,::,disabled,disabled
BU2,ADC,ADC_VRF,F5,1,1101,30.2.0.33,1102,30.2.0.34,30.2.0.35,28,DC1NTNXAHV02,NTWK-SVCS,TRUE,TRUE,122,disabled,0F:0F:0F:0F:FF:FF,inherit,unspecified,local,::,disabled,disabled
BU2,FRONTEND,FRONTEND_VRF,PAN,1,1101,30.2.0.49,1102,30.2.0.50,30.2.0.51,28,DC1NTNXAHV02,NTWK-SVCS,TRUE,TRUE,123,disabled,0F:0F:0F:0F:FF:FF,inherit,unspecified,local,::,disabled,disabled
BU2,MIDTIER,MIDTIER_VRF,PAN,1,1101,30.2.0.65,1102,30.2.0.66,30.2.0.67,28,DC1NTNXAHV02,NTWK-SVCS,TRUE,TRUE,124,disabled,0F:0F:0F:0F:FF:FF,inherit,unspecified,local,::,disabled,disabled
BU2,BACKEND,BACKEND_VRF,PAN,1,1101,30.2.0.81,1102,30.2.0.82,30.2.0.83,28,DC1NTNXAHV02,NTWK-SVCS,TRUE,TRUE,125,disabled,0F:0F:0F:0F:FF:FF,inherit,unspecified,local,::,disabled,disabled
BU2,MISC,MISC_VRF,PAN,1,1101,30.2.0.97,1102,30.2.0.98,30.2.0.99,28,DC1NTNXAHV02,NTWK-SVCS,TRUE,TRUE,126,disabled,0F:0F:0F:0F:FF:FF,inherit,unspecified,local,::,disabled,disabled
SS,SS,DEFAULT_VRF,PAN,1,1101,30.0.4.1,1102,30.0.4.2,30.0.4.3,28,DC1NTNXAHV03,NTWK-SVCS,TRUE,TRUE,11,disabled,0F:0F:0F:0F:FF:FF,inherit,unspecified,local,::,disabled,disabled
SS,BU1,DEFAULT_VRF,PAN,1,1101,30.1.0.1,1102,30.1.0.2,30.1.0.3,28,DC1NTNXAHV03,NTWK-SVCS,TRUE,TRUE,100,disabled,0F:0F:0F:0F:FF:FF,inherit,unspecified,local,::,disabled,disabled
SS,BU2,DEFAULT_VRF,PAN,1,1101,30.2.0.1,1102,30.2.0.2,30.2.0.3,28,DC1NTNXAHV03,NTWK-SVCS,TRUE,TRUE,120,disabled,0F:0F:0F:0F:FF:FF,inherit,unspecified,local,::,disabled,disabled
SS,ADC,ADC_VRF,F5,1,1101,30.0.4.33,1102,30.0.4.34,30.0.4.35,28,DC1NTNXAHV03,NTWK-SVCS,TRUE,TRUE,13,disabled,0F:0F:0F:0F:FF:FF,inherit,unspecified,local,::,disabled,disabled
SS,MGMT,MGMT_VRF,PAN,1,1101,30.0.4.49,1102,30.0.4.50,30.0.4.51,28,DC1NTNXAHV03,NTWK-SVCS,TRUE,TRUE,14,disabled,0F:0F:0F:0F:FF:FF,inherit,unspecified,local,::,disabled,disabled
SS,STORAGE,STORAGE_VRF,PAN,1,1101,30.0.4.97,1102,30.0.4.98,30.0.4.99,28,DC1NTNXAHV03,NTWK-SVCS,TRUE,TRUE,17,disabled,0F:0F:0F:0F:FF:FF,inherit,unspecified,local,::,disabled,disabled
BU1,ADC,ADC_VRF,F5,1,1101,30.1.0.33,1102,30.1.0.34,30.1.0.35,28,DC1NTNXAHV03,NTWK-SVCS,TRUE,TRUE,102,disabled,0F:0F:0F:0F:FF:FF,inherit,unspecified,local,::,disabled,disabled
BU1,FRONTEND,FRONTEND_VRF,PAN,1,1101,30.1.0.49,1102,30.1.0.50,30.1.0.51,28,DC1NTNXAHV03,NTWK-SVCS,TRUE,TRUE,103,disabled,0F:0F:0F:0F:FF:FF,inherit,unspecified,local,::,disabled,disabled
BU1,MIDTIER,MIDTIER_VRF,PAN,1,1101,30.1.0.65,1102,30.1.0.66,30.1.0.67,28,DC1NTNXAHV03,NTWK-SVCS,TRUE,TRUE,104,disabled,0F:0F:0F:0F:FF:FF,inherit,unspecified,local,::,disabled,disabled
BU1,BACKEND,BACKEND_VRF,PAN,1,1101,30.1.0.81,1102,30.1.0.82,30.1.0.83,28,DC1NTNXAHV03,NTWK-SVCS,TRUE,TRUE,105,disabled,0F:0F:0F:0F:FF:FF,inherit,unspecified,local,::,disabled,disabled
BU1,MISC,MISC_VRF,PAN,1,1101,30.1.0.97,1102,30.1.0.98,30.1.0.99,28,DC1NTNXAHV03,NTWK-SVCS,TRUE,TRUE,106,disabled,0F:0F:0F:0F:FF:FF,inherit,unspecified,local,::,disabled,disabled
BU2,ADC,ADC_VRF,F5,1,1101,30.2.0.33,1102,30.2.0.34,30.2.0.35,28,DC1NTNXAHV03,NTWK-SVCS,TRUE,TRUE,122,disabled,0F:0F:0F:0F:FF:FF,inherit,unspecified,local,::,disabled,disabled
BU2,FRONTEND,FRONTEND_VRF,PAN,1,1101,30.2.0.49,1102,30.2.0.50,30.2.0.51,28,DC1NTNXAHV03,NTWK-SVCS,TRUE,TRUE,123,disabled,0F:0F:0F:0F:FF:FF,inherit,unspecified,local,::,disabled,disabled
BU2,MIDTIER,MIDTIER_VRF,PAN,1,1101,30.2.0.65,1102,30.2.0.66,30.2.0.67,28,DC1NTNXAHV03,NTWK-SVCS,TRUE,TRUE,124,disabled,0F:0F:0F:0F:FF:FF,inherit,unspecified,local,::,disabled,disabled
BU2,BACKEND,BACKEND_VRF,PAN,1,1101,30.2.0.81,1102,30.2.0.82,30.2.0.83,28,DC1NTNXAHV03,NTWK-SVCS,TRUE,TRUE,125,disabled,0F:0F:0F:0F:FF:FF,inherit,unspecified,local,::,disabled,disabled
BU2,MISC,MISC_VRF,PAN,1,1101,30.2.0.97,1102,30.2.0.98,30.2.0.99,28,DC1NTNXAHV03,NTWK-SVCS,TRUE,TRUE,126,disabled,0F:0F:0F:0F:FF:FF,inherit,unspecified,local,::,disabled,disabled
SS,SS,DEFAULT_VRF,PAN,1,1101,30.0.4.1,1102,30.0.4.2,30.0.4.3,28,DC1NTNXAHV04,NTWK-SVCS,TRUE,TRUE,11,disabled,0F:0F:0F:0F:FF:FF,inherit,unspecified,local,::,disabled,disabled
SS,BU1,DEFAULT_VRF,PAN,1,1101,30.1.0.1,1102,30.1.0.2,30.1.0.3,28,DC1NTNXAHV04,NTWK-SVCS,TRUE,TRUE,100,disabled,0F:0F:0F:0F:FF:FF,inherit,unspecified,local,::,disabled,disabled
SS,BU2,DEFAULT_VRF,PAN,1,1101,30.2.0.1,1102,30.2.0.2,30.2.0.3,28,DC1NTNXAHV04,NTWK-SVCS,TRUE,TRUE,120,disabled,0F:0F:0F:0F:FF:FF,inherit,unspecified,local,::,disabled,disabled
SS,ADC,ADC_VRF,F5,1,1101,30.0.4.33,1102,30.0.4.34,30.0.4.35,28,DC1NTNXAHV04,NTWK-SVCS,TRUE,TRUE,13,disabled,0F:0F:0F:0F:FF:FF,inherit,unspecified,local,::,disabled,disabled
SS,MGMT,MGMT_VRF,PAN,1,1101,30.0.4.49,1102,30.0.4.50,30.0.4.51,28,DC1NTNXAHV04,NTWK-SVCS,TRUE,TRUE,14,disabled,0F:0F:0F:0F:FF:FF,inherit,unspecified,local,::,disabled,disabled
SS,STORAGE,STORAGE_VRF,PAN,1,1101,30.0.4.97,1102,30.0.4.98,30.0.4.99,28,DC1NTNXAHV04,NTWK-SVCS,TRUE,TRUE,17,disabled,0F:0F:0F:0F:FF:FF,inherit,unspecified,local,::,disabled,disabled
BU1,ADC,ADC_VRF,F5,1,1101,30.1.0.33,1102,30.1.0.34,30.1.0.35,28,DC1NTNXAHV04,NTWK-SVCS,TRUE,TRUE,102,disabled,0F:0F:0F:0F:FF:FF,inherit,unspecified,local,::,disabled,disabled
BU1,FRONTEND,FRONTEND_VRF,PAN,1,1101,30.1.0.49,1102,30.1.0.50,30.1.0.51,28,DC1NTNXAHV04,NTWK-SVCS,TRUE,TRUE,103,disabled,0F:0F:0F:0F:FF:FF,inherit,unspecified,local,::,disabled,disabled
BU1,MIDTIER,MIDTIER_VRF,PAN,1,1101,30.1.0.65,1102,30.1.0.66,30.1.0.67,28,DC1NTNXAHV04,NTWK-SVCS,TRUE,TRUE,104,disabled,0F:0F:0F:0F:FF:FF,inherit,unspecified,local,::,disabled,disabled
BU1,BACKEND,BACKEND_VRF,PAN,1,1101,30.1.0.81,1102,30.1.0.82,30.1.0.83,28,DC1NTNXAHV04,NTWK-SVCS,TRUE,TRUE,105,disabled,0F:0F:0F:0F:FF:FF,inherit,unspecified,local,::,disabled,disabled
BU1,MISC,MISC_VRF,PAN,1,1101,30.1.0.97,1102,30.1.0.98,30.1.0.99,28,DC1NTNXAHV04,NTWK-SVCS,TRUE,TRUE,106,disabled,0F:0F:0F:0F:FF:FF,inherit,unspecified,local,::,disabled,disabled
BU2,ADC,ADC_VRF,F5,1,1101,30.2.0.33,1102,30.2.0.34,30.2.0.35,28,DC1NTNXAHV04,NTWK-SVCS,TRUE,TRUE,122,disabled,0F:0F:0F:0F:FF:FF,inherit,unspecified,local,::,disabled,disabled
BU2,FRONTEND,FRONTEND_VRF,PAN,1,1101,30.2.0.49,1102,30.2.0.50,30.2.0.51,28,DC1NTNXAHV04,NTWK-SVCS,TRUE,TRUE,123,disabled,0F:0F:0F:0F:FF:FF,inherit,unspecified,local,::,disabled,disabled
BU2,MIDTIER,MIDTIER_VRF,PAN,1,1101,30.2.0.65,1102,30.2.0.66,30.2.0.67,28,DC1NTNXAHV04,NTWK-SVCS,TRUE,TRUE,124,disabled,0F:0F:0F:0F:FF:FF,inherit,unspecified,local,::,disabled,disabled
BU2,BACKEND,BACKEND_VRF,PAN,1,1101,30.2.0.81,1102,30.2.0.82,30.2.0.83,28,DC1NTNXAHV04,NTWK-SVCS,TRUE,TRUE,125,disabled,0F:0F:0F:0F:FF:FF,inherit,unspecified,local,::,disabled,disabled
BU2,MISC,MISC_VRF,PAN,1,1101,30.2.0.97,1102,30.2.0.98,30.2.0.99,28,DC1NTNXAHV04,NTWK-SVCS,TRUE,TRUE,126,disabled,0F:0F:0F:0F:FF:FF,inherit,unspecified,local,::,disabled,disabled