TENANT_NAME,ZONE_NAME,VRF_NAME,NEXT_HOP_TYPE,POD_ID,ODD_NODE_ID,ODD_NODE_RTR_ID,EVEN_NODE_ID,EVEN_NODE_RTR_ID,RTR_ID_LOOP_BACK,CONFIG_ISSUES
SS,OUT,DEFAULT_VRF,CORE,1,1101,30.0.2.1,1102,30.0.2.15,no,none
SS,SS,DEFAULT_VRF,PAN,1,1101,30.0.2.1,1102,30.0.2.15,no,none
SS,BU1,DEFAULT_VRF,PAN,1,1101,30.0.2.1,1102,30.0.2.15,no,none
SS,BU2,DEFAULT_VRF,PAN,1,1101,30.0.2.1,1102,30.0.2.15,no,none
SS,ADC,ADC_VRF,F5,1,1101,30.0.2.2,1102,30.0.2.16,no,none
SS,MGMT,MGMT_VRF,PAN,1,1101,30.0.2.3,1102,30.0.2.17,no,none
SS,STORAGE,STORAGE_VRF,PAN,1,1101,30.0.2.4,1102,30.0.2.18,no,none
BU1,ADC,ADC_VRF,F5,1,1101,30.0.2.5,1102,30.0.2.19,no,none
BU1,FRONTEND,FRONTEND_VRF,PAN,1,1101,30.0.2.6,1102,30.0.2.20,no,none
BU1,MIDTIER,MIDTIER_VRF,PAN,1,1101,30.0.2.7,1102,30.0.2.21,no,none
BU1,BACKEND,BACKEND_VRF,PAN,1,1101,30.0.2.8,1102,30.0.2.22,no,none
BU1,MISC,MISC_VRF,PAN,1,1101,30.0.2.9,1102,30.0.2.23,no,none
BU2,ADC,ADC_VRF,F5,1,1101,30.0.2.10,1102,30.0.2.24,no,none
BU2,FRONTEND,FRONTEND_VRF,PAN,1,1101,30.0.2.11,1102,30.0.2.25,no,none
BU2,MIDTIER,MIDTIER_VRF,PAN,1,1101,30.0.2.12,1102,30.0.2.26,no,none
BU2,BACKEND,BACKEND_VRF,PAN,1,1101,30.0.2.13,1102,30.0.2.27,no,none
BU2,MISC,MISC_VRF,PAN,1,1101,30.0.2.14,1102,30.0.2.28,no,none