TENANT_NAME,POOL_DOMAIN,ALLOCATION_MODE,VLAN_ID,ROLE
SS,physical,static,20,external
SS,physical,static,21,external
SS,physical,static,22,external
SS,physical,static,23,external
SS,physical,static,24,external
SS,physical,static,25,external
SS,physical,static,26,external
BU1,physical,static,1000,external
BU1,physical,static,1001,external
BU1,physical,static,1002,external
BU1,physical,static,1003,external
BU1,physical,static,1004,external
BU1,physical,static,1005,external
BU1,physical,static,1006,external
BU1,physical,static,1007,external
BU2,physical,static,2000,external
BU2,physical,static,2001,external
BU2,physical,static,2002,external
BU2,physical,static,2003,external
BU2,physical,static,2004,external
BU2,physical,static,2005,external
BU2,physical,static,2006,external
BU2,physical,static,2007,external
SS,external,static,11,external
SS,external,static,13,external
SS,external,static,14,external
SS,external,static,17,external
SS,external,static,1101,external
SS,external,static,100,external
BU1,external,static,102,external
BU1,external,static,103,external
BU1,external,static,104,external
BU1,external,static,105,external
BU1,external,static,106,external
SS,external,static,120,external
BU1,external,static,122,external
BU1,external,static,123,external
BU1,external,static,124,external
BU1,external,static,125,external
BU1,external,static,126,external